"Scientific Name","Common Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming Period","Habitat","Micro Habitat","Elevation Low (m)","Elevation Low (ft)","Elevation High (m)","Elevation High (ft)","CA Endemic","States","Counties","Quads","EO Total","EO A","EO B","EO C","EO D","EO X","EO U","EO Historical","EO Recent","EO Extant","EO Possibly Extirpated","EO Extirpated","Notes","Full Scientific Name","Synonyms","Element Code","USDA PLANTS Symbol","Flora Status","CBR Reason","Date Added","Date Changed","Last Update",
"Monolopia congdonii","San Joaquin woollythreads","Asteraceae","annual herb","1B.2","G2","S2","None","FE","(Jan)Feb-May","Chenopod scrub, Valley and foothill grassland (sandy)","","60","195","800","2625","T","","FRE, KNG, KRN, SBA, SBT, SLO, TUL","Little Pine Mtn. (3411956), Fox Mountain (3411975), Cuyama (3411985), New Cuyama (3411986), Arvin (3511827), Edison (3511837), Rio Bravo Ranch (3511847), Oil Center (3511848), Posey (3511876), Johnsondale (3511885), California Hot Springs (3511886), Gibbon Peak (3511887), Fountain Springs (3511888), Elkhorn Hills (3511915), Wells Ranch (3511916), Caliente Mtn. (3511917), Taylor Canyon (3511918), Fellows (3511925), Panorama Hills (3511926), Painted Rock (3511927), Stevens (3511932), Simmler (3511938), Oildale (3511941), Rosedale (3511942), Buttonwillow (3511944), Lokern (3511945), Belridge (3511946), Carneros Rocks (3511947), Semitropic (3511955), Lost Hills (3511956), Blackwells Corner (3511957), Lost Hills NW (3511966), West Camp (3511977), Avenal Gap (3511978), Ducor (3511981), Sausalito School (3511982), Pixley (3511983), Alpaugh (3511984), Los Viejos (3511988), Kettleman Plain (3512081), Garza Peak (3512082), Success Dam (3611818), Kettleman City (3611918), La Cima (3612011), Avenal (3612012), Kreyenhagen Hills (3612013), Curry Mountain (3612014), Huron (3612021), Guijarral Hills (3612022), Coalinga (3612023), Domengine Ranch (3612033), Tres Pecos Farms (3612043), Lillis Ranch (3612044), Levis (3612054), Monocline Ridge (3612055), Tumey Hills (3612056), Coit Ranch (3612064), Chounet Ranch (3612066)","111","8","41","14","5","24","19","65","46","87","24","0","Approximately half of historical occurrences extirpated.  Need quad for TUL Co.  Seriously threatened by agricultural conversion, energy development, urbanization, grazing, trampling, and vehicles.  Federally-listed as Lembertia congdonii; see this name in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 19:20 (1883) for original description, and Novon 9:460-461 (1999) for revised nomenclature.","Monolopia congdonii (Gray) B.G. Baldwin","Lembertia congdonii","PDASTA8010","MOCO7","","","1988-01-01","","2010-03-15",
"Mucronea californica","California spineflower","Polygonaceae","annual herb","4.2","G3","S3","None","None","Mar-Jul(Aug)","Chaparral, Cismontane woodland, Coastal dunes, Coastal scrub, Valley and foothill grassland","sandy","0","0","1400","4595","T","","KRN, LAX, MNT, RIV, SBA, SBD, SDG, SLO, VEN","Otay Mesa (3211658), Point Loma (3211762), Zaca Creek (3412062), Los Alamos (3412063), Lompoc (3412064), Surf (3412065), Caliente Mtn. (3511917), Oceano (3512015), Arroyo Grande NE (3512025)","","","","","","","","","","","","","Rare in southern California.  Many herbarium records old.  Threatened by aggregate mining, vehicles, flood control modification, urbanization, and water percolation projects.  Possibly threatened by non-native plants.  Includes Chorizanthe californica var. suskdorfii.  See Phytologia 66(3):203-205 (1989) for revised nomenclature.","Mucronea californica Benth.","Chorizanthe californica var. suksdorfii","PDPGN0F010","MUCA3","","","1988-01-01","","2010-09-17",
"Nasturtium gambelii","Gambel's water cress","Brassicaceae","perennial rhizomatous herb","1B.1","G1","S1","CT","FE","Apr-Oct","Marshes and swamps (freshwater or brackish)","","5","15","330","1085","F","BA","LAX, ORA, SBA, SBD, SDG, SLO","Tustin (3311767), Newport Beach (3311768), San Bernardino South (3411713), Hollywood (3411813), Santa Barbara (3411946), Orcutt (3412074), Casmalia (3412075), Oceano (3512015)","13","0","1","0","0","11","1","11","2","2","4","7","Nearly extinct in U.S.; known in CA from only four occurrences.  The historical report from SDG Co. likely constitutes a misidentification.  Black Lake Cyn. and Little Oso Flaco Lake populations not seen in 1998, possibly extirpated (Information in the preceding sentences may need to be altered pending verification of the known occurrences of this taxon).  Seriously threatened by habitat loss, erosion, and Eucalyptus that may be altering hydrology at Black Lake Cyn.   Recovery plan prepared by USFWS in 1994.  See Proceedings of the American Academy of Arts and Sciences 11:147 (1876) for original description, and Novon 8(2): 124-126 (1998) for revised nomenclature.","Nasturtium gambelii (S. Watson) O.E. Schulz","Rorippa gambelii, Rorippa gambellii","PDBRA270V0","NAGA","","","1980-01-01","","2011-02-02",
"Navarretia ojaiensis","Ojai navarretia","Polemoniaceae","annual herb","1B.1","G2","S2","None","None","May-Jul","Chaparral (openings), Coastal scrub (openings), Valley and foothill grassland","","275","900","620","2035","T","","LAX, VEN","Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Calabasas (3411826), Thousand Oaks (3411827), Newbury Park (3411828), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ventura (3411933), Ojai (3411942), Matilija (3411943), Santa Barbara (3411946)","22","3","2","1","0","2","14","6","16","20","0","2","Severely threatened by development and grazing.  Possibly threatened by non-native plants.  Not in The Jepson Manual (1993).  See Novon 17(4): 454-461 (2007) for original description.","Navarretia ojaiensis Elvin, J.M. Porter & L.M. Johnson","","PDPLM0C130","","","","2008-05-15","","2016-09-13",
"Navarretia peninsularis","Baja navarretia","Polemoniaceae","annual herb","1B.2","G3","S2","None","None","(May)Jun-Aug","Chaparral (openings), Lower montane coniferous forest, Meadows and seeps, Pinyon and juniper woodland","mesic","1500","4920","2300","7545","F","BA","KRN, LAX, SBA, SBD, SDG, VEN","Cuyamaca Peak (3211685), Mesa Grande (3311627), Moonridge (3411627), Big Bear Lake (3411628), Big Bear City (3411637), Fawnskin (3411638), Butler Peak (3411731), Lebec (3411877), Frazier Mtn. (3411878), Matilija (3411943), Lockwood Valley (3411961), Big Pine Mtn. (3411966), Cuddy Valley (3411971), Sawmill Mountain (3411972), Tehachapi South (3511814), Breckenridge Mtn. (3511845)","35","4","8","0","0","0","23","12","23","35","0","0","To be looked for in RIV Co.  How common is plant in BA?  Threatened in SBD Co. by gold-panning and vehicles.  Similar to N. breweri.  See Pittonia 1:136 (1887) for original description.","Navarretia peninsularis Greene","","PDPLM0C0L0","NAPE","","","1994-01-01","","2010-03-15",
"Nemacladus secundiflorus var. robbinsii","Robbins' nemacladus","Campanulaceae","annual herb","1B.2","G3T2","S2","None","None","Apr-Jun","Chaparral, Valley and foothill grassland","openings","350","1145","1700","5575","T","","LAX, SBA, SBT, SLO, VEN","Valyermo (3411747), Lebec (3411877), Frazier Mtn. (3411878), Lockwood Valley (3411961), Reyes Peak (3411963), Big Pine Mtn. (3411966), Cuddy Valley (3411971), Caldwell Mesa (3512023), Tar Spring Ridge (3512024), Tierra Redonda Mountain (3512078), Bickmore Canyon (3612152)","9","0","0","0","0","1","8","9","0","8","1","0","Possibly threatened by road maintenance and widening.  See J. Bot. Res. Inst. Texas 2(1):399 (2008) for original description.","Nemacladus secundiflorus G.T. Robbins var. robbinsii Morin","","PDCAM0F0B2","","","","2010-06-25","","2011-04-21",
"Nolina cismontana","chaparral nolina","Ruscaceae","perennial evergreen shrub","1B.2","G3","S3","None","None","(Mar)May-Jul","Chaparral, Coastal scrub","sandstone or gabbro","140","455","1275","4185","T","","LAX, ORA, RIV, SDG, VEN","Viejas Mountain (3211676), Rodriquez Mtn. (3311628), Pala (3311731), Bonsall (3311732), Pechanga (3311741), San Clemente (3311745), Sitton Peak (3311754), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Santiago Peak (3311765), El Toro (3311766), Corona South (3311775), Black Star Canyon (3311776), Calabasas (3411826), Thousand Oaks (3411827), Matilija (3411943), White Ledge Peak (3411944)","68","3","16","2","0","1","46","17","51","67","1","0","Threatened by development, agriculture, road construction, and recreational activities.  Not in TJM (1993); mentioned as  undescribed sp.  under N. parryi.  See Novon 5:162 (1995) for original description.","Nolina cismontana Dice","","PMAGA080E0","NOCI","","","2001-01-01","","2012-11-05",
"Orcuttia californica","California Orcutt grass","Poaceae","annual herb","1B.1","G1","S1","CE","FE","Apr-Aug","Vernal pools","","15","45","660","2165","F","BA","LAX, ORA, RIV, SDG, VEN","Otay Mesa (3211658), Imperial Beach (3211751), La Jolla (3211772), Del Mar (3211782), Warner Springs (3311636), Encinitas (3311713), Bachelor Mtn. (3311751), Murrieta (3311752), Wildomar (3311753), Winchester (3311761), Romoland (3311762), Lake Elsinore (3311763), Newport Beach (3311768), Los Alamitos (3311871), South Gate (3311882), Inglewood (3311883), Thousand Oaks (3411827), Simi (3411837), Mint Canyon (3411844), Newhall (3411845)","37","0","5","6","5","5","16","19","18","32","1","4","Seriously threatened by agriculture, development, non-native plants, grazing, and vehicles.  See Bulletin of the Torrey Botanical Club 13:219 (1886) for original description,American Journal of Botany 69:1082-1095 (1982) for taxonomic treatment and Madroño 45(4):328 (1998) for distribution information.","Orcuttia californica Vasey","Orcuttia californica var. californica","PMPOA4G010","ORCA","","","1974-01-01","","2012-05-15",
"Orobanche parishii ssp. brachyloba","short-lobed broomrape","Orobanchaceae","perennial herb (parasitic)","4.2","G4?T4","S3","None","None","Apr-Oct","Coastal bluff scrub, Coastal dunes, Coastal scrub","sandy","3","5","305","1000","F","BA","LAX, SBA, SCT, SCZ, SDG, SLO, SMI, SNI, SRO, VEN","Imperial Beach (3211751), Point Loma (3211762), Del Mar (3211782), Encinitas (3311713), Santa Catalina South (3311834), San Nicolas Island (3311924), Santa Cruz Island C (3311985), Santa Cruz Island A (3311987), Santa Rosa Island North (3312081), Santa Rosa Island West (3312082), San Miguel Island East (3312083), San Miguel Island West (3312084), Oceano (3512015)","26","0","2","0","1","2","21","26","0","24","1","1","Parasitic on shrubs such as Isocoma menziesii.  See Madroño 22(2):68 (1973) for original description.","Orobanche parishii (Jeps.) Heckard ssp. brachyloba Heckard","","PDORO040A2","ORPAB","","","1974-01-01","","2010-03-15",
"Orobanche valida ssp. valida","Rock Creek broomrape","Orobanchaceae","perennial herb (parasitic)","1B.2","G4T2","S2","None","None","May-Sep","Chaparral, Pinyon and juniper woodland","granitic","1250","4100","2000","6560","T","","INY, LAX, SBD, VEN","Mt. Baldy (3411726), Azusa (3411728), Telegraph Peak (3411735), Crystal Lake (3411737), Valyermo (3411747), Chilao Flat (3411831), Topatopa Mountains (3411951)","12","3","2","0","0","0","7","8","4","12","0","0","Possibly threatened by non-native plants, trail maintenance, and recreational activities.  Parasitic on various chaparral shrubs.  Angeles NF has adopted species management guidelines.  See Madroño 1(17):255-256 (1929) for original description, Fremontia 11(1):16-18 (1983) for discussion of rediscovery (1979), and Madroño 29(2):95-100 (1982) for taxonomic treatment.","Orobanche valida Jeps. ssp. valida","","PDORO040G2","ORVAV","","","1974-01-01","","2011-10-12",
"Pentachaeta fragilis","fragile pentachaeta","Asteraceae","annual herb","4.3","G3","S3","None","None","Mar-Jun","Chaparral, Lower montane coniferous forest (sandy)","often openings","45","145","2100","6890","T","","KRN, MAD, MER, MNT, SBA, SLO, TUO, VEN","Cross Mountain (3511832), Emerald Mtn. (3511833), Claraville (3511843), Caliente Mtn. (3511917)","","","","","","","","","","","","","Possibly threatened by wind energy development.  See University of California Publications in Botany 6(7):170 (1915) for original description and 65:38 (1973) for taxonomic treatment.","Pentachaeta fragilis Bdg.","","PDAST6X050","PEFR6","","","2001-01-01","","2010-11-17",
"Pentachaeta lyonii","Lyon's pentachaeta","Asteraceae","annual herb","1B.1","G1","S1","CE","FE","(Feb)Mar-Aug","Chaparral (openings), Coastal scrub, Valley and foothill grassland","rocky, clay","30","95","690","2265","T","","LAX, SCT, VEN","Santa Catalina North (3311844), San Pedro (3311863), Long Beach (3311872), Torrance (3311873), Malibu Beach (3411816), Point Dume (3411817), Thousand Oaks (3411827), Newbury Park (3411828), Simi (3411837)","45","3","19","10","3","6","4","23","22","39","5","1","Threatened by development, alteration of fire regimes, trampling, vehicles, and recreational activities.  Seriously threatened by non-native plants; annual non-native grasses are an indirect factor contributing to extirpation.  No successful translocation attempts as of 1994.  See Synoptical Flora of North America 1(2):446 (1884) for original description, University of California Publications in Botany 65:1-41 (1973) for taxonomic treatment, and Madroño 58(2):69-77 (2011) for information on the impacts of non-native plants and management implications.","Pentachaeta lyonii Gray","","PDAST6X060","PELY4","","","1974-01-01","","2015-07-24",
"Perideridia pringlei","adobe yampah","Apiaceae","perennial herb","4.3","G4","S4","None","None","Apr-Jun(Jul)","Chaparral, Cismontane woodland, Coastal scrub, Pinyon and juniper woodland","Serpentinite, often clay","300","980","1800","5905","T","","KRN, LAX, MNT, SBA, SLO, TUL, VEN","Ritter Ridge (3411852), La Liebre Ranch (3411876), Lebec (3411877), Willow Springs (3411883), Tylerhorse Canyon (3411884), Cuddy Valley (3411971), Santiago Creek (3411983), Ballinger Canyon (3411984), Monolith (3511813), Cache Peak (3511822), Cross Mountain (3511832), Emerald Mtn. (3511833), Oiler Peak (3511835), Pinyon Mtn. (3511842), Lake Isabella South (3511854), Miracle Hot Springs (3511855), Elkhorn Hills (3511915), Caliente Mtn. (3511917), Taylor Canyon (3511918), Branch Mtn. (3512021), Pismo Beach (3512026), Burnett Peak (3512172), Burro Mountain (3512173), Jolon (3512182), Alder Peak (3512183)","","","","","","","","","","","","","Possibly threatened by wind energy development.","Perideridia pringlei (Coult. & Rose) Nels. & Macbr.","","PDAPI1N0D0","PEPR5","","","1974-01-01","","2014-12-04",
"Phacelia exilis","Transverse Range phacelia","Hydrophyllaceae","annual herb","4.3","G4Q","S4","None","None","May-Aug","Lower montane coniferous forest, Meadows and seeps, Pebble (Pavement) plain, Upper montane coniferous forest","sandy or gravelly","1100","3605","2700","8860","T","","KRN, LAX, SBD, TUL, VEN","Moonridge (3411627), Big Bear Lake (3411628), Big Bear City (3411637), Fawnskin (3411638), Lake Arrowhead (3411732), Alta Sierra (3511865)","","","","","","","","","","","","","Can be locally common.  Difficult to separate from P. mohavensis.  See Synoptical Flora of North America 2(1):165 (1878) for original description, and Systematic Botany 13(1):16-20 (1988) for revised nomenclature.","Phacelia exilis (Gray) G.J. Lee","","PDHYD0C4Y0","PHEX","","","1994-01-01","","2016-10-18",
"Phacelia hubbyi","Hubby's phacelia","Hydrophyllaceae","annual herb","4.2","G4","S4","None","None","Apr-Jul","Chaparral, Coastal scrub, Valley and foothill grassland","gravelly, rocky, talus","0","0","1000","3280","T","","KRN, LAX, SBA, VEN","Yorba Linda (3311787), San Pedro (3311863), Torrance (3311873), Redondo Beach (3311874), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), San Dimas (3411717), Los Angeles (3411812), Hollywood (3411813), Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Burbank (3411823), Van Nuys (3411824), Sunland (3411833), Val Verde (3411846), Acton (3411846), Piru (3411847), Warm Springs Mountain (3411855), Ventura (3411933), Matilija (3411943), Santa Barbara (3411946), Goleta (3411947), Hildreth Peak (3411955), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Santa Ynez (3412051), Lompoc (3412064), Twitchell Dam (3412083), Cinco (3511831)","","","","","","","","","","","","","Many collections old; need field surveys.  Possibly threatened by development, fire suppression, and weed control measures.  See P. cicutaria var. hubbyi in The Jepson Manual (1993).  See Contr. Gray Herb. 49: 29 (1917) for original description, and Leaflets of Western Botany III(5): 120 (1942) and Madroño 56(3):205-207 (2009) for revised nomenclature.","Phacelia hubbyi (J.F. Macbr.) L.M. Garrison","Phacelia cicutaria var. hubbyi","PDHYD0C0R4","PHHU4","","","2007-02-02","","2016-10-18",
"Phacelia mohavensis","Mojave phacelia","Hydrophyllaceae","annual herb","4.3","G4Q","S4","None","None","Apr-Aug","Cismontane woodland, Lower montane coniferous forest, Meadows and seeps, Pinyon and juniper woodland","sandy or gravelly","1400","4590","2500","8200","T","","LAX, SBD, TUL, VEN","Rimrock (3411625), Big Bear Lake (3411628), Big Bear City (3411637), Fawnskin (3411638), Keller Peak (3411721), Harrison Mtn. (3411722), Cucamonga Peak (3411725), Butler Peak (3411731), Lake Arrowhead (3411732), Silverwood Lake (3411733), Telegraph Peak (3411735), Crystal Lake (3411737), Waterman Mtn. (3411738), Mescal Creek (3411746), Chilao Flat (3411831), Pacifico Mountain (3411841), Newhall (3411845), Sawmill Mountain (3411972), Tobias Peak (3511875)","","","","","","","","","","","","","Difficult to separate from P. exilis.  See Synoptical Flora of North America 2(1):164 (1878) for original description, and Systematic Botany 13(1):16-20 (1988) for additional information.                                                   ","Phacelia mohavensis Gray","","PDHYD0C310","PHMO","","","1994-01-01","","2016-10-18",
"Phacelia ramosissima var. austrolitoralis","south coast branching phacelia","Hydrophyllaceae","perennial herb","3.2","G5?T3Q","S3","None","None","Mar-Aug","Chaparral, Coastal dunes, Coastal scrub, Marshes and swamps (coastal salt)","sandy, sometimes rocky","5","15","300","985","F","BA","LAX, MNT, ORA, SBA, SDG, SLO, VEN","Del Mar (3211782), Rancho Santa Fe (3311712), Encinitas (3311713), San Luis Rey (3311723), Dana Point (3311746), San Juan Capistrano (3311756), Laguna Beach (3311757), Newport Beach (3311768), Anaheim (3311778), La Habra (3311788), Venice (3311884), Santa Cruz Island D (3311984), Santa Cruz Island B (3311986), San Miguel Island East (3312083), San Miguel Island West (3312084), Point Dume (3411817), Triunfo Pass (3411818), Point Mugu (3411911), Oxnard (3411922), Ventura (3411933), Carpinteria (3411945), Santa Barbara (3411946), Goleta (3411947), Dos Pueblos Canyon (3411948), Point Conception (3412044), Tranquillon Mtn. (3412055), Point Arguello (3412056), Lompoc (3412064), Surf (3412065), Zaca Lake (3412071), Orcutt (3412074), Casmalia (3412075), Nipomo (3512014), Oceano (3512015), Monterey (3612158)","","","","","","","","","","","","","Previously on List 4.2.  Occurrences from MON and SLO counties may be misidentified.  Many collections old; need field surveys. Threatened by development.  Possibly threatened by non-native plants.  Characters distinguishing the varieties of P. ramosissima do not work most of the time; needs further study.  A synonym of P. ramosissima in TJM 2.","Phacelia ramosissima Lehm. var. austrolitoralis Munz","","PDHYD0C416","PHRAA","","","2007-05-18","","2016-10-18",
"Pinus torreyana ssp. torreyana","Torrey pine","Pinaceae","perennial evergreen tree","1B.2","G1T1","S1","None","None","","Closed-cone coniferous forest, Chaparral","Sandstone","30","95","160","525","T","","SBA, SDG","La Jolla (3211772), Del Mar (3211782), Rancho Santa Fe (3311712), Encinitas (3311713), Oceanside (3311724), Santa Rosa Island East (3311988)","2","0","2","0","0","0","0","0","2","2","0","0","Threatened by development and non-native plants.  Seriously attacked by the five-spined ips bark beetle at Torrey Pines SR, but biological control apparently has contained this infestation.  See American Forests 91(10):26-29 (1985) for species account, and Systematic Botany 11(1):39-50 (1986) for taxonomic treatment.","Pinus torreyana Carr. ssp. torreyana","Pinus torreyana","PGPIN04152","PITOT","","","1974-01-01","","2016-06-07",
"Piperia cooperi","chaparral rein orchid","Orchidaceae","perennial herb","4.2","G3G4","S3S4","None","None","Mar-Jun","Chaparral, Cismontane woodland, Valley and foothill grassland","","15","45","1585","5200","F","BA, SO","LAX, ORA, RIV, SBD, SCT, SDG, VEN","Otay Mesa (3211658), Dulzura (3211667), Viejas Mountain (3211676), Alpine (3211677), El Cajon (3211678), Point Loma (3211762), Del Mar (3211782), San Clemente Island South (3211873), Fallbrook (3311743), San Clemente (3311745), Santiago Peak (3311765), Santa Catalina East (3311833)","","","","","","","","","","","","","Threatened by urbanization and horticultural collecting.  Possibly threatened by road maintenance.  Possibly threatened by herbivory from non-native dear on SCT Isl.  See Proceedings of the American Academy of Arts and Sciences 12:276 (1876) for original description, Bulletin of the Torrey Botanical Club 28(11):636 (1901) for revised nomenclature, and The Wild Orchids of California, p. 114-116 (1995) by R. Coleman for species account.","Piperia cooperi (Wats.) Rydb.","","PMORC1X090","PICO9","","","2001-01-01","","2013-08-21",
"Piperia michaelii","Michael's rein orchid","Orchidaceae","perennial herb","4.2","G3","S3","None","None","Apr-Aug","Coastal bluff scrub, Closed-cone coniferous forest, Chaparral, Cismontane woodland, Coastal scrub, Lower montane coniferous forest","","3","5","915","3000","T","","ALA, AMA, BUT, CCA, FRE, HUM, LAX, MNT, MRN, SBA, SBT, SCL, SCR, SCZ, SFO, SLO, SMT, STA, TUL, TUO, VEN, YUB","Newbury Park (3411828), Old Man Mountain (3411954), Lopez Mtn. (3512035), San Benito Mtn. (3612036), Hepsedam Peak (3612037), Soberanes Point (3612148), Monterey (3612158), Marina (3612167), Prunedale (3612176), Watsonville West (3612187), Sonora (3712084), Pacheco Pass (3712112), Hayward (3712261), San Quentin (3712284), Tomales (3812228), Clearlake Highlands (3812286)","","","","","","","","","","","","","Recent surveys in VEN Co. have been unsuccessful.  Known from SCZ Isl. from a single collection in 1968.  Possibly threatened by road widening.  See Bulletin of the California Academy of Sciences 1:282 (1885) for original description, Bulletin of the Torrey Botanical Club 28:640 (1901) for revised nomenclature, and The Wild Orchids of California, p. 126-128 (1995) by R. Coleman for species account.","Piperia michaelii (Greene) Rydb.","Piperia elongata ssp. michaelii","PMORC1X110","PIMI6","","","1984-01-01","","2011-10-18",
"Pleuridium mexicanum","Mexican earthmoss","Ditrichaceae","moss","2B.1","G5","S1","None","None","","Chaparral","Sandstone","440","1440","440","1445","F","BA","SBA","San Marcos Pass (3411957)","1","0","0","0","0","0","1","0","1","1","0","0","See Revue Bryologique 37:118 (1910) for original description, and The Bryologist 110(3):510-513 (2007) for information on discovery in CA.","Pleuridium mexicanum Cardot","","NBMUS5M080","","","","2014-07-28","","2016-11-01",
"Polygala cornuta var. fishiae","Fish's milkwort","Polygalaceae","perennial deciduous shrub","4.3","G5T4","S4","None","None","May-Aug","Chaparral, Cismontane woodland, Riparian woodland","","100","325","1000","3280","F","BA","LAX, ORA, RIV, SBA, SDG, VEN","Barrett Lake (3211666), Dulzura (3211667), Viejas Mountain (3211676), Alpine (3211677), San Pasqual (3311618), Mesa Grande (3311627), Rodriquez Mtn. (3311628), Palomar Observatory (3311637), Boucher Hill (3311638), Las Pulgas Canyon (3311734), Pechanga (3311741), Temecula (3311742), Fallbrook (3311743), Margarita Peak (3311744), San Clemente (3311745), Murrieta (3311752), Wildomar (3311753), Sitton Peak (3311754), Santiago Peak (3311765), Corona South (3311775), Black Star Canyon (3311776), Ojai (3411942)","","","","","","","","","","","","","Includes P. cornuta var. pollardii.","Polygala cornuta Kell. var. fishiae (Parry) Jeps.","Polygala cornuta var. pollardii","PDPGL020B2","POCOF","","","1974-01-01","","2010-03-15",
"Prunus fasciculata var. punctata","sand almond","Rosaceae","perennial deciduous shrub","4.3","G5T4","S4","None","None","Mar-Apr","Chaparral (maritime), Cismontane woodland, Coastal dunes, Coastal scrub","sandy","15","45","200","655","T","","SBA, SLO","Lompoc (3412064), Oceano (3512015)","","","","","","","","","","","","","","Prunus fasciculata (Torr.) Gray var. punctata Jeps.","","PDROS1C0E2","PRFAP","","","1974-01-01","","2010-03-15",
"Pseudognaphalium leucocephalum","white rabbit-tobacco","Asteraceae","perennial herb","2B.2","G4","S2","None","None","(Jul)Aug-Nov(Dec)","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","sandy, gravelly","0","0","2100","6890","F","AZ, BA, NM, SO, TX","LAX, ORA, RIV, SBD, SDG, VEN","El Cajon (3211678), Vail Lake (3311648), San Jacinto (3311678), Morro Hill (3311733), Pechanga (3311741), Temecula (3311742), Fallbrook (3311743), Margarita Peak (3311744), San Clemente (3311745), Dana Point (3311746), Murrieta (3311752), Sitton Peak (3311754), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Alberhill (3311764), Lake Mathews (3311774), Black Star Canyon (3311776), Prado Dam (3311786), Guasti (3411715), Ontario (3411716), Baldwin Park (3411718), Hollywood (3411813), Mt. Wilson (3411821), Pasadena (3411822), Burbank (3411823), Condor Peak (3411832), Newhall (3411845), Acton (3411846), Acton (3411846), Val Verde (3411846), Val Verde (3411846), Piru (3411847), Fillmore (3411848), Warm Springs Mountain (3411855), Camarillo (3411921), Oxnard (3411922), Santa Paula (3411931), Saticoy (3411932)","62","0","1","1","0","2","58","20","42","60","0","2","Occurrences from VEN Co. need verification.  Many collections old; need field surveys.  Threatened by non-native plants, recreational activities, an hydrological alterations.  In TJM (1993) as Gnaphalium leucocephalum.  See Smithsonian Contributions to Knowledge 5(6): 99 (1853) for original description and Opera Botanica 104: 147 (1991) for revised nomenclature.","Pseudognaphalium leucocephalum (Gray) A. Anderb.","","PDAST440C0","PSLE4","","","2007-02-16","","2016-03-24",
"Quercus dumosa","Nuttall's scrub oak","Fagaceae","perennial evergreen shrub","1B.1","G3","S3","None","None","Feb-Apr(May-Aug)","Closed-cone coniferous forest, Chaparral, Coastal scrub","sandy, clay loam","15","45","400","1310","F","BA","LAX, ORA, SBA, SDG, VEN","Otay Mountain (3211657), Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), Margarita Peak (3311744), Dana Point (3311746), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Hollywood (3411813), Beverly Hills (3411814), Triunfo Pass (3411818), Newbury Park (3411828), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946)","180","11","14","14","3","3","135","47","133","177","1","2","Threatened by development, fire suppression, and vegetation/fuels management.  Possibly threatened by hybridization with Q. berberidifolia.  Widespread scrub oak from much of cismontane CA, previously called Q. dumosa, is now Q. berberidifolia.","Quercus dumosa Nutt.","","PDFAG050D0","QUDU","","","1994-01-01","","2012-05-17",
"Quercus parvula var. parvula","Santa Cruz Island oak","Fagaceae","perennial evergreen shrub","4.2","G4T3","S3","None","None","(Mar)Apr-Jun","Closed-cone coniferous forest, Chaparral, Cismontane woodland","","30","95","915","3000","T","","SBA, SCZ","","","","","","","","","","","","","","Threatened by feral animals on SCZ Isl.  See Pittonia 1:40 (1887) for original description.","Quercus parvula Greene var. parvula","","PDFAG051Q1","QUPAP2","","","1980-01-01","","2010-03-15",
"Ribes amarum var. hoffmannii","Hoffmann's bitter gooseberry","Grossulariaceae","perennial deciduous shrub","3","G4?T3","S3","None","None","Mar-Apr","Chaparral, Riparian woodland","","5","15","1190","3905","T","","SBA, VEN","Julian (3311615), Santa Barbara (3411946), Santa Ynez (3412051)","","","","","","","","","","","","","Move to List 1B?  Location, rarity, and endangerment information needed.  Expected to only occur in the Santa Ynez Mtns., but plants are also recorded from the San Rafael Mtns.  Taxonomic distinctiveness from R. amarum is uncertain; needs further study.  Possibly threatened by non-native plants.  A synonym of R. amarum in TJM (1993) and TJM 2.","Ribes amarum McClat. var. hoffmannii Munz","","PDGRO02012","RIAM","","","1984-01-01","","2014-07-30",
